Region,Country,"Item Type","Sales Channel","Order Priority","Order Date","Order ID","Ship Date","Units Sold","Unit Price","Unit Cost","Total Revenue","Total Cost","Total Profit"
"Central America and the Caribbean","El Salvador","Personal Care",Offline,H,10/22/2016,177580964,11/4/2016,9008,81.73,56.67,736223.84,510483.36,225740.48
Asia,Uzbekistan,"Office Supplies",Offline,H,1/17/2013,754590213,2/6/2013,8867,651.21,524.96,5774279.07,4654820.32,1119458.75
"Central America and the Caribbean",Guatemala,Household,Online,C,7/8/2013,511099278,8/25/2013,4489,668.27,502.54,2999864.03,2255902.06,743961.97
"Sub-Saharan Africa",Botswana,"Personal Care",Offline,C,12/12/2012,878406989,1/16/2013,9003,81.73,56.67,735815.19,510200.01,225615.18
"Sub-Saharan Africa",Uganda,Meat,Offline,L,9/11/2014,208124673,10/10/2014,7571,421.89,364.69,3194129.19,2761067.99,433061.20
"Middle East and North Africa",Syria,Snacks,Offline,L,10/30/2011,522176158,11/19/2011,2384,152.58,97.44,363750.72,232296.96,131453.76
"North America",Greenland,"Office Supplies",Online,C,8/16/2013,762797772,8/23/2013,7667,651.21,524.96,4992827.07,4024868.32,967958.75
Asia,Cambodia,Meat,Online,M,6/30/2011,842538344,8/2/2011,4674,421.89,364.69,1971913.86,1704561.06,267352.80
"Sub-Saharan Africa",Mauritania,Cereal,Online,L,1/21/2013,294259202,3/10/2013,6692,205.70,117.11,1376544.40,783700.12,592844.28
Europe,"Moldova ",Cosmetics,Online,C,8/23/2015,521134173,10/6/2015,4038,437.20,263.33,1765413.60,1063326.54,702087.06
Europe,Andorra,Vegetables,Online,L,1/25/2010,746649587,2/19/2010,9060,154.06,90.93,1395783.60,823825.80,571957.80
"Middle East and North Africa",Algeria,"Personal Care",Online,M,9/20/2014,264604270,10/24/2014,1138,81.73,56.67,93008.74,64490.46,28518.28
"Sub-Saharan Africa","Equatorial Guinea","Office Supplies",Offline,C,3/10/2011,689109551,4/6/2011,1685,651.21,524.96,1097288.85,884557.60,212731.25
